Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2012,1,2012-05-19,Palmeiras,1,1,Portuguesa,D,1.69,3.5,4.9
2012,1,2012-05-19,Sport Recife,1,1,Flamengo RJ,D,2.59,3.23,2.58
2012,1,2012-05-20,Figueirense,2,1,Nautico,H,1.59,3.67,5.64
2012,1,2012-05-20,Botafogo RJ,4,2,Sao Paulo,H,2.35,3.26,2.84
2012,1,2012-05-20,Corinthians,0,1,Fluminense,A,1.89,3.33,3.89
2012,1,2012-05-20,Internacional,2,0,Coritiba,H,1.66,3.55,5.1
2012,1,2012-05-20,Ponte Preta,0,1,Atletico-MG,A,2.74,3.23,2.45
2012,1,2012-05-20,Bahia,0,0,Santos,D,2.3,3.22,2.97
2012,1,2012-05-20,Cruzeiro,0,0,Atletico GO,D,1.78,3.47,4.3
2012,1,2012-05-20,Vasco,2,1,Gremio,H,2.08,3.25,3.41
2012,2,2012-05-26,Flamengo RJ,3,3,Internacional,D,1.99,3.23,3.74
2012,2,2012-05-26,Portuguesa,0,1,Vasco,A,2.62,3.22,2.54
2012,2,2012-05-26,Atletico GO,1,1,Ponte Preta,D,1.66,3.59,5.04
2012,2,2012-05-27,Nautico,0,0,Cruzeiro,D,2.67,3.18,2.55
2012,2,2012-05-27,Atletico-MG,1,0,Corinthians,H,2.08,3.28,3.43
2012,2,2012-05-27,Coritiba,2,3,Botafogo RJ,A,1.77,3.6,4.15
2012,2,2012-05-27,Santos,0,0,Sport Recife,D,1.41,4.17,7.46
2012,2,2012-05-27,Sao Paulo,1,0,Bahia,H,1.44,4.12,6.93
2012,2,2012-05-27,Fluminense,2,2,Figueirense,D,1.65,3.61,5.08
2012,2,2012-05-27,Gremio,1,0,Palmeiras,H,1.97,3.33,3.66
2012,3,2012-06-06,Atletico GO,0,1,Gremio,A,2.28,3.26,2.96
2012,3,2012-06-06,Sport Recife,2,1,Palmeiras,H,2.46,3.17,2.77
2012,3,2012-06-07,Ponte Preta,2,2,Flamengo RJ,D,2.55,3.21,2.67
2012,3,2012-06-07,Santos,1,1,Fluminense,D,2.02,3.23,3.63
2012,3,2012-06-07,Internacional,1,0,Sao Paulo,H,1.86,3.41,4.03
2012,3,2012-06-07,Atletico-MG,1,1,Bahia,D,1.43,4.13,7.23
2012,3,2012-06-07,Coritiba,2,0,Portuguesa,H,1.59,3.72,5.37
2012,3,2012-06-07,Vasco,4,2,Nautico,H,1.37,4.4,8.19
2012,3,2012-06-08,Botafogo RJ,2,3,Cruzeiro,A,2.02,3.32,3.58
2012,3,2012-06-08,Corinthians,1,1,Figueirense,D,1.56,3.77,5.68
2012,4,2012-06-09,Flamengo RJ,3,1,Coritiba,H,1.93,3.34,3.83
2012,4,2012-06-10,Sao Paulo,1,0,Santos,H,1.83,3.42,4.11
2012,4,2012-06-10,Nautico,3,2,Botafogo RJ,H,2.35,3.36,2.8
2012,4,2012-06-10,Figueirense,0,0,Ponte Preta,D,1.74,3.51,4.52
2012,4,2012-06-10,Cruzeiro,1,0,Sport Recife,H,1.55,3.83,5.76
2012,4,2012-06-10,Gremio,2,0,Corinthians,H,1.53,3.84,6.06
2012,4,2012-06-10,Bahia,1,2,Vasco,A,2.93,3.24,2.31
2012,4,2012-06-10,Portuguesa,2,0,Atletico GO,H,2.08,3.26,3.4
2012,4,2012-06-10,Palmeiras,0,1,Atletico-MG,A,2.05,3.37,3.39
2012,4,2012-06-10,Fluminense,0,0,Internacional,D,1.92,3.27,3.95
2012,5,2012-06-16,Cruzeiro,1,0,Figueirense,H,1.72,3.53,4.54
2012,5,2012-06-16,Internacional,1,2,Botafogo RJ,A,1.54,3.91,5.7
2012,5,2012-06-17,Coritiba,3,0,Atletico GO,H,1.83,3.42,4.08
2012,5,2012-06-17,Ponte Preta,1,0,Corinthians,H,2.15,3.24,3.23
2012,5,2012-06-17,Nautico,1,0,Gremio,H,2.44,3.26,2.73
2012,5,2012-06-17,Sao Paulo,1,0,Atletico-MG,H,2.1,3.23,3.38
2012,5,2012-06-17,Fluminense,4,1,Portuguesa,H,1.46,4.04,6.8
2012,5,2012-06-17,Flamengo RJ,1,0,Santos,H,1.63,3.65,5.12
2012,5,2012-06-17,Palmeiras,1,1,Vasco,D,2.33,3.24,2.91
2012,5,2012-06-17,Bahia,2,1,Sport Recife,H,1.96,3.34,3.68
2012,6,2012-06-23,Portuguesa,1,0,Sao Paulo,H,3.07,3.28,2.22
2012,6,2012-06-23,Vasco,1,3,Cruzeiro,A,1.72,3.59,4.53
2012,6,2012-06-24,Atletico-MG,5,1,Nautico,H,1.35,4.54,8.38
2012,6,2012-06-24,Corinthians,2,1,Palmeiras,H,2.65,3.1,2.62
2012,6,2012-06-24,Figueirense,1,1,Bahia,D,1.59,3.74,5.46
2012,6,2012-06-24,Atletico GO,1,4,Fluminense,A,2.8,3.22,2.41
2012,6,2012-06-24,Botafogo RJ,1,2,Ponte Preta,A,1.58,3.82,5.41
2012,6,2012-06-24,Santos,2,2,Coritiba,D,1.6,3.78,5.18
2012,6,2012-06-24,Sport Recife,0,2,Internacional,A,2.88,3.15,2.4
2012,6,2012-06-24,Gremio,2,0,Flamengo RJ,H,1.66,3.66,4.92
2012,7,2012-06-30,Cruzeiro,2,3,Sao Paulo,A,2.04,3.3,3.47
