Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,1,2010-08-20,Bayern Munich,2,1,Wolfsburg,H,1.57,4.0,5.5
2011,1,2010-08-21,FC Koln,1,3,Kaiserslautern,A,2.1,3.4,3.4
2011,1,2010-08-21,Freiburg,1,3,St Pauli,A,2.2,3.3,3.25
2011,1,2010-08-21,Hamburg,2,1,Schalke 04,H,2.38,3.4,2.88
2011,1,2010-08-21,Hannover,2,1,Ein Frankfurt,H,2.6,3.25,2.7
2011,1,2010-08-21,Hoffenheim,4,1,Werder Bremen,H,2.88,3.4,2.38
2011,1,2010-08-21,M'gladbach,1,1,Nurnberg,D,1.91,3.4,4.0
2011,1,2010-08-22,Mainz,2,0,Stuttgart,H,3.1,3.4,2.25
2011,1,2010-08-22,Dortmund,0,2,Leverkusen,A,2.38,3.4,2.88
2011,1,2010-08-27,Kaiserslautern,2,0,Bayern Munich,H,7.0,4.33,1.44
2011,1,2010-08-28,Ein Frankfurt,1,3,Hamburg,A,3.1,3.5,2.2
2011,1,2010-08-28,Nurnberg,1,2,Freiburg,A,1.91,3.4,4.0
2011,1,2010-08-28,Schalke 04,1,2,Hannover,A,1.33,4.75,10.0
2011,1,2010-08-28,St Pauli,0,1,Hoffenheim,A,3.2,3.4,2.2
2011,1,2010-08-28,Werder Bremen,4,2,FC Koln,H,1.4,4.75,7.0
2011,1,2010-08-28,Wolfsburg,3,4,Mainz,A,1.57,4.0,5.5
2011,2,2010-08-29,Leverkusen,3,6,M'gladbach,A,1.36,4.75,8.0
2011,2,2010-08-29,Stuttgart,1,3,Dortmund,A,2.2,3.3,3.25
2011,2,2010-09-10,Hoffenheim,2,0,Schalke 04,H,2.4,3.3,2.88
2011,2,2010-09-11,Bayern Munich,0,0,Werder Bremen,D,1.57,4.0,5.5
2011,2,2010-09-11,Dortmund,2,0,Wolfsburg,H,2.1,3.5,3.25
2011,2,2010-09-11,Freiburg,2,1,Stuttgart,H,3.4,3.4,2.1
2011,2,2010-09-11,Hamburg,1,1,Nurnberg,D,1.36,4.75,8.5
2011,2,2010-09-11,Hannover,2,2,Leverkusen,D,3.75,3.4,2.0
2011,2,2010-09-11,M'gladbach,0,4,Ein Frankfurt,A,2.1,3.4,3.4
2011,2,2010-09-12,FC Koln,1,0,St Pauli,H,2.2,3.25,3.25
2011,2,2010-09-12,Mainz,2,1,Kaiserslautern,H,2.2,3.3,3.25
2011,2,2010-09-17,Ein Frankfurt,0,1,Freiburg,A,1.8,3.5,4.5
2011,2,2010-09-18,Bayern Munich,0,0,FC Koln,D,1.22,6.0,12.0
2011,2,2010-09-18,Kaiserslautern,2,2,Hoffenheim,D,2.8,3.4,2.4
2011,2,2010-09-18,Stuttgart,7,0,M'gladbach,H,1.8,3.5,4.5
2011,2,2010-09-18,Werder Bremen,0,2,Mainz,A,1.44,4.33,7.0
2011,3,2010-09-18,Wolfsburg,2,0,Hannover,H,1.53,4.0,6.0
2011,3,2010-09-19,Leverkusen,0,0,Nurnberg,D,1.44,4.33,7.0
2011,3,2010-09-19,Schalke 04,1,3,Dortmund,A,2.25,3.3,3.2
2011,3,2010-09-19,St Pauli,1,1,Hamburg,D,3.6,3.5,2.0
2011,3,2010-09-21,Mainz,2,0,FC Koln,H,1.91,3.4,4.0
2011,3,2010-09-21,Hoffenheim,1,2,Bayern Munich,A,3.6,3.5,2.0
2011,3,2010-09-21,Hannover,4,1,Werder Bremen,H,3.6,3.5,2.0
2011,3,2010-09-22,Dortmund,5,0,Kaiserslautern,H,1.5,4.0,7.0
2011,3,2010-09-22,Freiburg,1,2,Schalke 04,A,3.1,3.3,2.25
2011,3,2010-09-22,Hamburg,1,3,Wolfsburg,A,1.91,3.5,3.9
2011,3,2010-09-22,Leverkusen,2,1,Ein Frankfurt,H,1.67,3.6,5.25
2011,3,2010-09-22,M'gladbach,1,2,St Pauli,A,2.0,3.3,3.8
2011,3,2010-09-22,Nurnberg,2,1,Stuttgart,H,3.1,3.3,2.3
2011,3,2010-09-24,FC Koln,1,1,Hoffenheim,D,3.25,3.3,2.2
2011,3,2010-09-25,Werder Bremen,3,2,Hamburg,H,2.4,3.3,2.9
2011,3,2010-09-25,Stuttgart,1,4,Leverkusen,A,2.4,3.3,2.9
2011,4,2010-09-25,St Pauli,1,3,Dortmund,A,3.75,3.4,2.0
2011,4,2010-09-25,Ein Frankfurt,2,0,Nurnberg,H,2.0,3.4,3.75
2011,4,2010-09-25,Bayern Munich,1,2,Mainz,A,1.44,4.33,7.0
2011,4,2010-09-25,Schalke 04,2,2,M'gladbach,D,1.53,3.8,6.5
2011,4,2010-09-26,Kaiserslautern,0,1,Hannover,A,2.25,3.25,3.2
2011,4,2010-09-26,Wolfsburg,2,1,Freiburg,H,1.44,4.33,7.0
2011,4,2010-10-01,Hannover,0,1,St Pauli,A,2.0,3.4,3.6
2011,4,2010-10-02,Nurnberg,2,1,Schalke 04,H,3.0,3.4,2.3
2011,4,2010-10-02,M'gladbach,1,1,Wolfsburg,D,3.5,3.4,2.05
2011,4,2010-10-02,Hamburg,2,1,Kaiserslautern,H,1.5,4.0,6.75
2011,4,2010-10-02,Freiburg,3,2,FC Koln,H,2.25,3.3,3.2
2011,4,2010-10-02,Mainz,4,2,Hoffenheim,H,2.2,3.3,3.3
2011,4,2010-10-03,Dortmund,2,0,Bayern Munich,H,2.55,3.3,2.7
2011,4,2010-10-03,Leverkusen,2,2,Werder Bremen,D,2.1,3.4,3.4
2011,4,2010-10-03,Stuttgart,1,2,Ein Frankfurt,A,1.91,3.5,3.9
2011,4,2010-10-15,FC Koln,1,2,Dortmund,A,4.33,3.6,1.8
2011,5,2010-10-16,Schalke 04,2,2,Stuttgart,D,2.0,3.4,3.75
2011,5,2010-10-16,Bayern Munich,3,0,Hannover,H,1.4,4.5,7.5
2011,5,2010-10-16,Mainz,0,1,Hamburg,A,2.25,3.4,3.1
2011,5,2010-10-16,St Pauli,3,2,Nurnberg,H,2.25,3.2,3.4
2011,5,2010-10-16,Werder Bremen,2,1,Freiburg,H,1.53,4.33,5.5
2011,5,2010-10-16,Wolfsburg,2,3,Leverkusen,A,2.3,3.4,3.0
2011,5,2010-10-17,Hoffenheim,3,2,M'gladbach,H,1.65,3.75,5.25
2011,5,2010-10-17,Kaiserslautern,0,3,Ein Frankfurt,A,2.38,3.25,3.0
2011,5,2010-10-22,Hamburg,0,0,Bayern Munich,D,2.63,3.3,2.63
2011,5,2010-10-23,Nurnberg,2,1,Wolfsburg,H,2.9,3.3,2.38
2011,5,2010-10-23,M'gladbach,1,4,Werder Bremen,A,3.3,3.5,2.1
2011,5,2010-10-23,Ein Frankfurt,0,0,Schalke 04,D,2.8,3.25,2.5
2011,5,2010-10-23,Freiburg,2,1,Kaiserslautern,H,2.25,3.25,3.2
2011,5,2010-10-23,Hannover,2,1,FC Koln,H,2.1,3.25,3.5
2011,5,2010-10-24,Dortmund,1,1,Hoffenheim,D,1.75,3.6,4.6
2011,5,2010-10-24,Leverkusen,0,1,Mainz,A,1.8,3.75,4.2
2011,6,2010-10-24,Stuttgart,2,0,St Pauli,H,1.67,3.75,5.0
2011,6,2010-10-29,Bayern Munich,4,2,Freiburg,H,1.29,5.0,11.0
2011,6,2010-10-30,FC Koln,3,2,Hamburg,H,3.7,3.4,2.0
2011,6,2010-10-30,Kaiserslautern,3,0,M'gladbach,H,2.1,3.4,3.4
2011,6,2010-10-30,Schalke 04,0,1,Leverkusen,A,2.5,3.3,2.75
2011,6,2010-10-30,St Pauli,1,3,Ein Frankfurt,A,2.5,3.25,2.8
2011,6,2010-10-30,Werder Bremen,2,3,Nurnberg,A,1.5,4.33,6.0
2011,6,2010-10-30,Wolfsburg,2,0,Stuttgart,H,2.1,3.4,3.4
2011,6,2010-10-31,Hoffenheim,4,0,Hannover,H,1.62,3.7,5.5
2011,6,2010-10-31,Mainz,0,2,Dortmund,A,2.75,3.3,2.5
2011,6,2010-11-05,Schalke 04,3,0,St Pauli,H,1.7,3.6,5.0
2011,6,2010-11-06,Nurnberg,3,1,FC Koln,H,2.0,3.4,3.75
2011,6,2010-11-06,M'gladbach,3,3,Bayern Munich,D,5.5,4.0,1.57
2011,6,2010-11-06,Hamburg,2,1,Hoffenheim,H,2.25,3.25,3.2
2011,6,2010-11-06,Ein Frankfurt,3,1,Wolfsburg,H,2.38,3.4,2.88
2011,6,2010-11-06,Freiburg,1,0,Mainz,H,2.9,3.3,2.4
2011,7,2010-11-07,Hannover,0,4,Dortmund,A,4.33,3.6,1.8
2011,7,2010-11-07,Leverkusen,3,1,Kaiserslautern,H,1.44,4.5,6.5
2011,7,2010-11-07,Stuttgart,6,0,Werder Bremen,H,2.5,3.3,2.75
2011,7,2010-11-12,Dortmund,2,0,Hamburg,H,1.73,3.75,4.5
2011,7,2010-11-13,Wolfsburg,2,2,Schalke 04,D,2.25,3.5,3.0
2011,7,2010-11-13,Werder Bremen,0,0,Ein Frankfurt,D,1.91,3.6,3.75
2011,7,2010-11-13,St Pauli,0,1,Leverkusen,A,3.4,3.4,2.1
2011,7,2010-11-13,Kaiserslautern,3,3,Stuttgart,D,3.0,3.4,2.3
2011,7,2010-11-13,FC Koln,0,4,M'gladbach,A,2.1,3.5,3.3
2011,7,2010-11-13,Mainz,0,1,Hannover,A,1.73,3.5,5.0
2011,7,2010-11-14,Bayern Munich,3,0,Nurnberg,H,1.33,5.0,8.5
2011,7,2010-11-14,Hoffenheim,0,1,Freiburg,A,1.62,3.75,5.5
2011,7,2010-11-20,Schalke 04,4,0,Werder Bremen,H,2.2,3.4,3.2
2011,7,2010-11-20,Nurnberg,1,3,Kaiserslautern,A,1.95,3.5,3.75
2011,7,2010-11-20,M'gladbach,2,3,Mainz,A,2.4,3.4,2.8
2011,7,2010-11-20,Leverkusen,1,1,Bayern Munich,D,3.0,3.4,2.3
2011,8,2010-11-20,Freiburg,1,2,Dortmund,A,5.5,3.75,1.62
2011,8,2010-11-20,Hannover,3,2,Hamburg,H,2.88,3.4,2.38
2011,8,2010-11-20,Ein Frankfurt,0,4,Hoffenheim,A,2.25,3.4,3.1
2011,8,2010-11-21,St Pauli,1,1,Wolfsburg,D,3.2,3.4,2.2
2011,8,2010-11-21,Stuttgart,0,1,FC Koln,A,1.53,4.0,6.0
2011,8,2010-11-26,Mainz,3,0,Nurnberg,H,1.85,3.4,4.33
2011,8,2010-11-27,Bayern Munich,4,1,Ein Frankfurt,H,1.36,4.75,8.0
2011,8,2010-11-27,Dortmund,4,1,M'gladbach,H,1.29,5.5,9.5
2011,8,2010-11-27,Hannover,3,0,Freiburg,H,2.25,3.2,3.25
2011,8,2010-11-27,Hoffenheim,2,2,Leverkusen,D,2.55,3.3,2.7
2011,8,2010-11-27,Kaiserslautern,5,0,Schalke 04,H,3.25,3.3,2.2
2011,8,2010-11-27,Hamburg,4,2,Stuttgart,H,2.1,3.3,3.5
2011,8,2010-11-28,FC Koln,1,1,Wolfsburg,D,2.8,3.3,2.45
2011,8,2010-11-28,Werder Bremen,3,0,St Pauli,H,1.75,3.75,4.5
2011,8,2010-12-03,St Pauli,1,0,Kaiserslautern,H,2.4,3.4,2.8
2011,8,2010-12-04,Wolfsburg,0,0,Werder Bremen,D,2.0,3.6,3.5
2011,9,2010-12-04,Schalke 04,2,0,Bayern Munich,H,3.4,3.4,2.1
2011,9,2010-12-04,Stuttgart,1,1,Hoffenheim,D,2.2,3.5,3.1
2011,9,2010-12-04,M'gladbach,1,2,Hannover,A,2.25,3.4,3.1
2011,9,2010-12-04,Ein Frankfurt,2,1,Mainz,H,2.2,3.2,3.4
2011,9,2010-12-04,Freiburg,1,0,Hamburg,H,3.0,3.4,2.3
2011,9,2010-12-05,Leverkusen,3,2,FC Koln,H,1.4,4.5,8.0
2011,9,2010-12-05,Nurnberg,0,2,Dortmund,A,4.5,3.75,1.73
2011,9,2010-12-10,Hannover,2,1,Stuttgart,H,2.4,3.4,2.8
2011,9,2010-12-11,Bayern Munich,3,0,St Pauli,H,1.2,6.5,13.0
2011,9,2010-12-11,Dortmund,2,0,Werder Bremen,H,1.57,4.2,5.25
2011,9,2010-12-11,FC Koln,1,0,Ein Frankfurt,H,2.38,3.4,2.88
2011,9,2010-12-11,Hamburg,2,4,Leverkusen,A,2.5,3.3,2.75
