Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,1,2010-08-28,Hercules,0,1,Ath Bilbao,A,2.5,3.25,2.8
2011,1,2010-08-28,Levante,1,4,Sevilla,A,3.6,3.5,2.0
2011,1,2010-08-28,Malaga,1,3,Valencia,A,2.88,3.3,2.4
2011,1,2010-08-29,Espanol,3,1,Getafe,H,2.1,3.3,3.5
2011,1,2010-08-29,La Coruna,0,0,Zaragoza,D,2.1,3.3,3.5
2011,1,2010-08-29,Mallorca,0,0,Real Madrid,D,8.0,4.75,1.36
2011,1,2010-08-29,Osasuna,0,0,Almeria,D,2.0,3.4,3.75
2011,1,2010-08-29,Santander,0,3,Barcelona,A,15.0,6.0,1.2
2011,1,2010-08-29,Sociedad,1,0,Villarreal,H,3.0,3.25,2.38
2011,1,2010-08-30,Ath Madrid,4,0,Sp Gijon,H,1.53,4.0,6.0
2011,1,2010-09-11,Valencia,1,0,Santander,H,1.44,4.33,7.0
2011,1,2010-09-11,Real Madrid,1,0,Osasuna,H,1.17,6.5,17.0
2011,1,2010-09-11,Ath Bilbao,1,2,Ath Madrid,A,3.0,3.25,2.38
2011,1,2010-09-11,Barcelona,0,2,Hercules,A,1.06,11.0,34.0
2011,1,2010-09-12,Getafe,4,1,Levante,H,1.57,3.8,6.0
2011,1,2010-09-12,Sevilla,0,0,La Coruna,D,1.5,4.0,7.0
2011,1,2010-09-12,Sp Gijon,2,0,Mallorca,H,2.4,3.3,2.9
2011,2,2010-09-12,Villarreal,4,0,Espanol,H,1.8,3.5,4.5
2011,2,2010-09-12,Zaragoza,3,5,Malaga,A,1.91,3.4,4.0
2011,2,2010-09-13,Almeria,2,2,Sociedad,D,2.2,3.25,3.3
2011,2,2010-09-18,Sp Gijon,2,2,Ath Bilbao,D,2.4,3.25,2.9
2011,2,2010-09-18,Sociedad,1,2,Real Madrid,A,8.5,4.6,1.36
2011,2,2010-09-18,Espanol,1,0,Almeria,H,2.0,3.3,3.75
