Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,1,2010-08-07,Auxerre,2,2,Lorient,D,1.91,3.3,4.2
2011,1,2010-08-07,Lens,1,2,Nancy,A,2.1,3.1,3.8
2011,1,2010-08-07,Lyon,0,0,Monaco,D,1.44,4.0,8.0
2011,1,2010-08-07,Marseille,1,2,Caen,A,1.25,5.5,12.0
2011,1,2010-08-07,Nice,0,0,Valenciennes,D,2.1,3.1,3.75
2011,1,2010-08-07,Paris SG,3,1,St Etienne,H,1.73,3.4,5.25
2011,1,2010-08-07,Rennes,1,1,Lille,D,2.4,3.1,3.1
2011,1,2010-08-07,Sochaux,2,1,Arles,H,1.8,3.25,5.0
2011,1,2010-08-07,Toulouse,2,0,Brest,H,1.62,3.5,6.0
2011,1,2010-08-08,Montpellier,1,0,Bordeaux,H,3.2,3.0,2.4
2011,1,2010-08-14,Arles,0,1,Lens,A,3.0,3.0,2.5
2011,1,2010-08-14,Valenciennes,3,2,Marseille,H,3.75,3.25,2.05
2011,1,2010-08-14,Brest,1,1,Auxerre,D,3.1,2.9,2.5
2011,1,2010-08-14,St Etienne,3,2,Sochaux,H,2.0,3.1,4.2
2011,1,2010-08-14,Nancy,0,3,Rennes,A,2.6,3.0,2.88
2011,1,2010-08-14,Lorient,1,2,Nice,A,1.95,3.2,4.2
2011,1,2010-08-15,Bordeaux,1,2,Toulouse,A,1.6,3.6,6.25
2011,1,2010-08-15,Caen,3,2,Lyon,H,4.33,3.25,1.91
2011,2,2010-08-15,Lille,0,0,Paris SG,D,2.05,3.2,3.75
2011,2,2010-08-17,Monaco,0,0,Montpellier,D,2.25,3.1,3.3
2011,2,2010-08-21,Rennes,0,0,St Etienne,D,1.75,3.3,5.25
2011,2,2010-08-21,Toulouse,2,1,Arles,H,1.62,3.6,6.0
2011,2,2010-08-21,Nice,1,1,Nancy,D,2.38,3.0,3.2
2011,2,2010-08-21,Lens,2,2,Monaco,D,2.3,3.0,3.4
2011,2,2010-08-21,Lyon,1,0,Brest,H,1.4,4.5,7.5
2011,2,2010-08-21,Auxerre,1,1,Valenciennes,D,2.2,3.0,3.6
2011,2,2010-08-21,Marseille,2,0,Lorient,H,1.62,3.4,6.5
2011,2,2010-08-22,Montpellier,0,0,Caen,D,2.1,3.1,3.75
2011,2,2010-08-22,Paris SG,1,2,Bordeaux,A,2.2,3.1,3.5
2011,2,2010-08-22,Sochaux,0,0,Lille,D,4.0,3.1,2.05
2011,2,2010-08-28,Valenciennes,0,1,Montpellier,A,2.2,3.0,3.6
2011,2,2010-08-28,St Etienne,3,1,Lens,H,2.05,3.1,4.0
2011,2,2010-08-28,Nancy,0,2,Toulouse,A,2.4,3.0,3.2
2011,2,2010-08-28,Caen,0,2,Brest,A,1.91,3.25,4.33
2011,2,2010-08-28,Arles,0,1,Rennes,A,3.25,3.0,2.38
2011,2,2010-08-28,Lorient,2,0,Lyon,H,3.25,3.1,2.3
2011,3,2010-08-29,Bordeaux,1,1,Marseille,D,2.4,3.1,3.1
2011,3,2010-08-29,Lille,1,1,Nice,D,1.5,3.75,7.5
2011,3,2010-08-29,Monaco,2,0,Auxerre,H,2.38,3.0,3.25
2011,3,2010-08-29,Sochaux,3,1,Paris SG,H,3.25,3.1,2.3
2011,3,2010-09-11,Rennes,2,1,Sochaux,H,1.67,3.5,5.5
2011,3,2010-09-11,Toulouse,0,1,St Etienne,A,1.8,3.25,5.0
2011,3,2010-09-11,Paris SG,4,0,Arles,H,1.4,4.33,8.5
2011,3,2010-09-11,Montpellier,1,2,Nancy,A,1.85,3.2,4.75
2011,3,2010-09-11,Lyon,1,1,Valenciennes,D,1.53,3.75,7.0
2011,3,2010-09-11,Lens,1,4,Lille,A,3.2,3.0,2.4
2011,3,2010-09-11,Auxerre,1,1,Caen,D,2.05,3.1,4.0
2011,3,2010-09-12,Brest,0,0,Lorient,D,2.5,3.0,3.0
2011,3,2010-09-12,Marseille,2,2,Monaco,D,1.6,3.6,6.0
2011,3,2010-09-12,Nice,2,1,Bordeaux,H,3.25,3.1,2.3
2011,3,2010-09-18,Valenciennes,1,1,Lens,D,2.1,3.1,3.4
2011,3,2010-09-18,St Etienne,3,0,Montpellier,H,2.05,3.2,3.8
2011,3,2010-09-18,Sochaux,4,0,Nice,H,2.1,3.2,3.6
2011,3,2010-09-18,Nancy,0,2,Brest,A,2.0,3.2,3.9
2011,4,2010-09-18,Monaco,0,0,Toulouse,D,2.3,3.0,3.4
2011,4,2010-09-18,Lorient,0,1,Caen,A,2.2,3.0,3.6
2011,4,2010-09-18,Arles,0,3,Marseille,A,5.25,3.6,1.67
2011,4,2010-09-19,Bordeaux,2,0,Lyon,H,2.55,3.0,2.9
