Season_End_Year,Wk,Date,Home,HomeGoals,AwayGoals,Away,FTR,B365H,B365D,B365A
2011,1,2010-08-28,Roma,0,0,Cesena,D,1.29,4.75,13.0
2011,1,2010-08-28,Udinese,0,1,Genoa,A,2.4,3.1,3.1
2011,1,2010-08-29,Bari,1,0,Juventus,H,4.33,3.25,1.91
2011,1,2010-08-29,Chievo,2,1,Catania,H,2.2,3.1,3.5
2011,1,2010-08-29,Fiorentina,1,1,Napoli,D,2.3,3.1,3.3
2011,1,2010-08-29,Milan,4,0,Lecce,H,1.33,4.5,11.0
2011,1,2010-08-29,Palermo,0,0,Cagliari,D,1.73,3.25,5.5
2011,1,2010-08-29,Parma,2,0,Brescia,H,1.83,3.25,4.75
2011,1,2010-08-29,Sampdoria,2,0,Lazio,H,2.1,3.1,3.75
2011,1,2010-08-30,Bologna,0,0,Inter,D,6.25,3.5,1.62
2011,1,2010-09-11,Cesena,2,0,Milan,H,7.0,3.75,1.53
2011,1,2010-09-11,Inter,2,1,Udinese,H,1.4,4.33,8.5
2011,1,2010-09-11,Cagliari,5,1,Roma,H,3.25,3.1,2.3
2011,1,2010-09-12,Brescia,3,2,Palermo,H,3.25,3.1,2.3
2011,1,2010-09-12,Catania,2,1,Parma,H,2.25,3.1,3.4
2011,1,2010-09-12,Genoa,1,3,Chievo,A,1.7,3.5,5.25
2011,1,2010-09-12,Juventus,3,3,Sampdoria,D,1.8,3.5,4.5
2011,1,2010-09-12,Lazio,3,1,Bologna,H,1.73,3.4,5.25
2011,1,2010-09-12,Lecce,1,0,Fiorentina,H,3.5,3.1,2.2
2011,1,2010-09-12,Napoli,2,2,Bari,D,1.73,3.4,5.25
2011,2,2010-09-18,Fiorentina,1,2,Lazio,A,2.05,3.25,3.75
2011,2,2010-09-18,Milan,1,1,Catania,D,1.3,4.75,11.0
2011,2,2010-09-19,Roma,2,2,Bologna,D,1.4,4.33,8.0
2011,2,2010-09-19,Udinese,0,4,Juventus,A,3.0,3.2,2.4
2011,2,2010-09-19,Sampdoria,1,2,Napoli,A,2.25,3.2,3.25
2011,2,2010-09-19,Parma,1,1,Genoa,D,2.35,3.2,3.1
2011,2,2010-09-19,Bari,0,0,Cagliari,D,1.95,3.3,4.0
2011,2,2010-09-19,Chievo,0,1,Brescia,A,1.91,3.3,4.2
2011,2,2010-09-19,Cesena,1,0,Lecce,H,2.0,3.25,3.9
2011,2,2010-09-19,Palermo,1,2,Inter,A,3.3,3.25,2.2
2011,2,2010-09-22,Napoli,1,3,Chievo,A,1.67,3.4,5.75
2011,2,2010-09-22,Lecce,1,1,Parma,D,2.5,3.0,3.0
2011,2,2010-09-22,Inter,4,0,Bari,H,1.4,4.5,7.5
2011,2,2010-09-22,Genoa,1,1,Fiorentina,D,2.2,3.1,3.4
2011,2,2010-09-22,Lazio,1,1,Milan,D,3.5,3.1,2.2
2011,2,2010-09-22,Cagliari,0,0,Sampdoria,D,2.4,3.1,3.1
2011,2,2010-09-22,Brescia,2,1,Roma,H,3.6,3.2,2.1
2011,2,2010-09-22,Bologna,2,1,Udinese,H,2.5,3.1,2.9
2011,2,2010-09-22,Catania,2,0,Cesena,H,2.05,3.1,3.9
2011,2,2010-09-23,Juventus,1,3,Palermo,A,1.73,3.5,5.0
2011,3,2010-09-25,Milan,1,0,Genoa,H,1.67,3.5,5.5
2011,3,2010-09-25,Roma,1,0,Inter,H,3.4,3.2,2.2
2011,3,2010-09-26,Juventus,4,2,Cagliari,H,1.6,3.6,6.0
2011,3,2010-09-26,Sampdoria,0,0,Udinese,D,1.75,3.3,4.5
2011,3,2010-09-26,Palermo,2,2,Lecce,D,1.53,3.5,6.5
2011,3,2010-09-26,Fiorentina,2,0,Parma,H,1.95,3.2,4.2
2011,3,2010-09-26,Chievo,0,1,Lazio,A,2.5,3.0,3.0
2011,3,2010-09-26,Cesena,1,4,Napoli,A,3.0,3.0,2.5
2011,3,2010-09-26,Catania,1,1,Bologna,D,1.91,3.25,4.33
2011,3,2010-09-26,Bari,2,1,Brescia,H,1.91,3.2,4.33
2011,3,2010-10-02,Parma,0,1,Milan,A,3.8,3.3,2.0
2011,3,2010-10-02,Udinese,1,0,Cesena,H,1.75,3.5,4.75
2011,3,2010-10-03,Napoli,2,0,Roma,H,2.4,3.1,3.1
2011,3,2010-10-03,Lecce,1,0,Catania,H,2.38,3.1,3.1
2011,3,2010-10-03,Lazio,1,0,Brescia,H,1.67,3.5,5.5
2011,3,2010-10-03,Inter,0,0,Juventus,D,1.75,3.4,5.0
2011,3,2010-10-03,Genoa,2,1,Bari,H,1.91,3.25,4.33
2011,3,2010-10-03,Fiorentina,1,2,Palermo,A,2.0,3.25,3.9
2011,3,2010-10-03,Chievo,0,0,Cagliari,D,2.25,3.1,3.4
2011,3,2010-10-03,Bologna,1,1,Sampdoria,D,2.6,3.1,2.8
2011,4,2010-10-16,Milan,3,1,Chievo,H,1.44,4.0,8.0
2011,4,2010-10-16,Roma,2,1,Genoa,H,1.91,3.25,4.33
2011,4,2010-10-17,Sampdoria,2,1,Fiorentina,H,2.1,3.2,3.6
2011,4,2010-10-17,Juventus,4,0,Lecce,H,1.36,4.5,9.0
2011,4,2010-10-17,Cesena,1,1,Parma,D,2.5,3.0,3.0
2011,4,2010-10-17,Palermo,4,1,Bologna,H,1.62,3.6,6.0
2011,4,2010-10-17,Cagliari,0,1,Inter,A,4.0,3.2,2.0
2011,4,2010-10-17,Brescia,0,1,Udinese,A,2.7,3.0,2.8
2011,4,2010-10-17,Catania,1,1,Napoli,D,2.88,3.0,2.63
2011,4,2010-10-17,Bari,0,2,Lazio,A,2.7,3.0,2.8
2011,4,2010-10-23,Fiorentina,2,1,Bari,H,1.75,3.4,5.0
